Daniel,MaisOuMenos,GuilhermePassos3,Cascalho,MaxRep,CorreVento,FlavioCCoelho,Cecilia2,Valentim2,Vivis3,wd1,Victor,Fernanda,popst,LeonardoPinheiro,KatnissEverdin,jefferson,AraraClayton,LeoRodrigues,Vitoria,Arthur2,LuisEduardo,Eliane2,GuilhermeBarros,Otto2,Adriano2,Arthur,JoaoHonesto,Gabrielp,Pedro01,Eliane,Gabriel,Souza,Valentim,Pedro02,Adriano1,AleaJactaEst,leondiniz,rafaelmesq,GuilhermePassos,Oda,GuilhermePassos2,AntonioPulcherio,MediaAna,Otto,Adriano3,Cecilia1,Luciene,FlavioCoelho,Medusa,jefferson2
1065.0,1096.0,1040.0,1057.0,1043.0,1078.0,1049.0,1077.0,1081.0,1022.0,1034.0,1093.0,1034.0,1040.0,1037.0,1040.0,1087.0,1093.0,1087.0,1063.0,1040.0,1046.0,1052.0,1087.0,1037.0,1060.0,1055.0,1090.0,1087.0,1058.0,1105.0,1090.0,1037.0,1043.0,1105.0,1066.0,1046.0,1040.0,1087.0,1046.0,1034.0,1043.0,1057.0,1096.0,1040.0,1069.0,1065.0,1043.0,1093.0,1031.0,1046.0
1138.0,1153.0,1062.0,1127.0,1092.0,1149.0,1077.0,1144.0,1127.0,1100.0,1053.0,1162.0,1103.0,1067.0,1062.0,1068.0,1133.0,1138.0,1112.0,1128.0,1095.0,1069.0,1074.0,1153.0,1065.0,1162.0,1112.0,1131.0,1144.0,1133.0,1162.0,1144.0,1053.0,1065.0,1171.0,1157.0,1092.0,1118.0,1159.0,1071.0,1075.0,1065.0,1136.0,1136.0,1062.0,1154.0,1161.0,1094.0,1168.0,1103.0,1089.0
1126.0,1084.0,1027.0,1106.0,1088.0,1114.0,1008.0,1125.0,1074.0,1071.0,975.0,1122.0,1098.0,998.0,1022.0,993.0,1071.0,1094.0,1046.0,1100.0,1084.0,1002.0,1011.0,1094.0,993.0,1112.0,1101.0,1078.0,1086.0,1105.0,1113.0,1077.0,981.0,987.0,1118.0,1118.0,1028.0,1108.0,1122.0,993.0,1026.0,993.0,1082.0,1081.0,984.0,1128.0,1122.0,1056.0,1131.0,1080.0,1064.0
1101.0,1022.0,1014.0,1084.0,1072.0,1067.0,930.0,1093.0,1026.0,1035.0,894.0,1079.0,1074.0,912.0,1002.0,909.0,1032.0,1055.0,1004.0,1077.0,1074.0,925.0,937.0,1032.0,909.0,1093.0,1082.0,1036.0,1014.0,1067.0,1066.0,1014.0,891.0,903.0,1058.0,1076.0,970.0,1061.0,1079.0,954.0,1002.0,941.0,1050.0,1024.0,897.0,1081.0,1080.0,1021.0,1076.0,1049.0,1040.0
1073.0,970.0,1001.0,1059.0,1043.0,1028.0,864.0,1052.0,987.0,1000.0,819.0,1030.0,1056.0,836.0,1003.0,840.0,978.0,1023.0,950.0,1054.0,1060.0,852.0,869.0,971.0,828.0,1031.0,1057.0,1001.0,961.0,1031.0,1004.0,961.0,813.0,825.0,1004.0,1030.0,905.0,1014.0,1039.0,921.0,993.0,897.0,1021.0,983.0,825.0,1053.0,1029.0,995.0,1027.0,1030.0,1028.0
1152.0,1019.0,1078.0,1125.0,1117.0,1090.0,877.0,1116.0,1044.0,1052.0,838.0,1078.0,1119.0,855.0,1094.0,875.0,1035.0,1096.0,987.0,1116.0,1129.0,877.0,892.0,1035.0,844.0,1121.0,1128.0,1054.0,1005.0,1094.0,1047.0,1005.0,829.0,838.0,1033.0,1104.0,949.0,1067.0,1090.0,1013.0,1071.0,975.0,1076.0,1038.0,838.0,1123.0,1084.0,1050.0,1075.0,1103.0,1108.0
1219.0,1078.0,1149.0,1201.0,1192.0,1140.0,893.0,1177.0,1090.0,1112.0,854.0,1135.0,1182.0,869.0,1181.0,896.0,1090.0,1141.0,1003.0,1193.0,1190.0,904.0,912.0,1081.0,863.0,1199.0,1199.0,1119.0,1064.0,1155.0,1081.0,1061.0,848.0,860.0,1087.0,1182.0,985.0,1123.0,1138.0,1107.0,1141.0,1046.0,1137.0,1100.0,854.0,1189.0,1130.0,1108.0,1126.0,1178.0,1186.0
1180.0,1037.0,1132.0,1168.0,1164.0,1104.0,815.0,1151.0,1044.0,1078.0,776.0,1086.0,1160.0,780.0,1162.0,827.0,1050.0,1099.0,919.0,1175.0,1163.0,829.0,841.0,1041.0,785.0,1143.0,1167.0,1083.0,1017.0,1117.0,1030.0,1008.0,767.0,785.0,1049.0,1133.0,926.0,1079.0,1083.0,1095.0,1117.0,1025.0,1117.0,1072.0,776.0,1162.0,1076.0,1072.0,1074.0,1139.0,1168.0
1137.0,989.0,1096.0,1131.0,1136.0,1068.0,725.0,1116.0,998.0,1047.0,701.0,1028.0,1113.0,689.0,1138.0,764.0,1001.0,1055.0,829.0,1129.0,1140.0,757.0,763.0,984.0,707.0,1127.0,1142.0,1043.0,985.0,1081.0,969.0,961.0,686.0,704.0,1004.0,1100.0,864.0,1037.0,1028.0,1076.0,1083.0,1013.0,1086.0,1030.0,698.0,1132.0,1031.0,1020.0,1028.0,1106.0,1135.0
1205.0,1047.0,1166.0,1202.0,1208.0,1125.0,741.0,1187.0,1063.0,1121.0,717.0,1073.0,1165.0,697.0,1213.0,795.0,1075.0,1133.0,839.0,1198.0,1208.0,789.0,785.0,1040.0,720.0,1185.0,1208.0,1116.0,1038.0,1145.0,1028.0,1017.0,699.0,717.0,1043.0,1161.0,900.0,1105.0,1073.0,1156.0,1161.0,1099.0,1175.0,1116.0,711.0,1197.0,1074.0,1075.0,1079.0,1163.0,1203.0
