Daniel,MaisOuMenos,GuilhermePassos3,Cascalho,MaxRep,CorreVento,FlavioCCoelho,Cecilia2,Valentim2,Vivis3,wd1,Victor,Fernanda,popst,LeonardoPinheiro,KatnissEverdin,jefferson,AraraClayton,LeoRodrigues,Vitoria,Arthur2,LuisEduardo,Eliane2,GuilhermeBarros,Otto2,Adriano2,Arthur,JoaoHonesto,Gabrielp,Pedro01,Eliane,Gabriel,Souza,Valentim,Pedro02,Adriano1,AleaJactaEst,leondiniz,rafaelmesq,GuilhermePassos,Oda,GuilhermePassos2,AntonioPulcherio,MediaAna,Otto,Adriano3,Cecilia1,Luciene,FlavioCoelho,Medusa,jefferson2
0.5,0.0,1.0,0.66,1.0,0.48,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.48,1.0,1.0,1.0,0.0,1.0,0.66,1.0,0.0,0.0,0.52,0.0,0.0,1.0,1.0,0.0,0.66,0.76,1.0,0.0,1.0,1.0,1.0,0.72,0.0,1.0,0.66,0.5,1.0,0.0,1.0,1.0
0.51,0.12,1.0,0.65,0.73,0.43,1.0,0.51,0.2,0.5,1.0,0.0,0.56,0.95,1.0,1.0,0.2,0.33,0.5,0.55,0.7,0.99,1.0,0.06,1.0,0.33,0.68,0.31,0.12,0.5,0.06,0.12,1.0,1.0,0.12,0.38,0.82,0.5,0.0,1.0,[0.84],1.0,0.5,0.32,1.0,0.44,0.25,0.77,0.0,0.5,0.79
0.41333333333333333,0.23333333333333334,0.7333333333333333,0.6466666666666666,0.5666666666666667,0.41333333333333333,1.0,0.5,0.32,0.46,1.0,0.0,0.42,0.9266666666666666,0.7866666666666666,1.0,0.32,0.4066666666666667,0.6666666666666666,0.5266666666666666,0.5933333333333334,0.96,0.92,0.16666666666666666,1.0,0.44666666666666666,0.58,0.37333333333333335,0.26,0.4533333333333333,0.08,0.26,1.0,1.0,0.10666666666666667,0.4066666666666667,0.8266666666666667,0.3333333333333333,0.0,1.0,[0.74],1.0,0.5666666666666667,0.3933333333333333,1.0,0.44,0.2,0.74,0.0,0.48,0.6666666666666666
0.37,0.315,0.61,0.65,0.47,0.435,1.0,0.5,0.37,0.46,1.0,0.0,0.37,0.94,0.655,1.0,0.37,0.435,0.75,0.535,0.535,0.935,0.89,0.19,1.0,0.335,0.54,0.41,0.355,0.465,0.095,0.355,1.0,1.0,0.105,0.45,0.815,0.39,0.0,0.805,[0.7],0.855,0.595,0.455,1.0,0.44,0.175,0.74,0.0,0.48,0.615
0.368,0.372,0.536,0.664,0.404,0.44,1.0,0.512,0.412,0.48,1.0,0.0,0.34,0.944,0.576,1.0,0.412,0.46,0.8,0.528,0.492,0.928,0.884,0.236,1.0,0.428,0.54,0.428,0.42,0.464,0.104,0.42,1.0,1.0,0.152,0.48,0.824,0.448,0.0,0.676,[0.652],0.748,0.6,0.5,1.0,0.436,0.16,0.74,0.0,0.468,0.572
0.35333333333333333,0.4166666666666667,0.49,0.6533333333333333,0.36,0.45,1.0,0.5133333333333333,0.44333333333333336,0.49666666666666665,1.0,0.0,0.3233333333333333,0.9433333333333334,0.5166666666666667,0.9566666666666667,0.44333333333333336,0.47,0.8333333333333334,0.5433333333333333,0.48,0.92,0.88,0.24333333333333335,1.0,0.3566666666666667,0.5033333333333333,0.45,0.4633333333333333,0.4766666666666667,0.10333333333333333,0.4633333333333333,1.0,1.0,0.24,0.4533333333333333,0.81,0.4866666666666667,0.0,0.5866666666666667,[0.64333333],0.6933333333333334,0.6266666666666667,0.5233333333333333,1.0,0.43,0.15,0.7433333333333333,0.0,0.45666666666666667,0.54
0.34285714285714286,0.44571428571428573,0.45714285714285713,0.6428571428571429,0.32571428571428573,0.4742857142857143,1.0,0.5142857142857142,0.4714285714285714,0.5114285714285715,1.0,0.0,0.31142857142857144,0.9485714285714286,0.47714285714285715,0.9228571428571428,0.4714285714285714,0.49714285714285716,0.8571428571428571,0.52,0.4857142857142857,0.9085714285714286,0.8771428571428571,0.2571428571428571,1.0,0.3057142857142857,0.4857142857142857,0.45714285714285713,0.4942857142857143,0.4828571428571429,0.10285714285714286,0.4942857142857143,1.0,1.0,0.2571428571428571,0.43142857142857144,0.8057142857142857,0.5142857142857142,0.0,0.5171428571428571,[0.62571429],0.6571428571428571,0.6371428571428571,0.5285714285714286,1.0,0.42,0.14285714285714285,0.7457142857142857,0.0,0.44285714285714284,0.5142857142857142
0.3425,0.4675,0.4325,0.65,0.3,0.48,1.0,0.5125,0.495,0.5225,1.0,0.0,0.3025,0.945,0.4475,0.895,0.495,0.515,0.875,0.52,0.475,0.8975,0.875,0.27,1.0,0.3675,0.4875,0.465,0.5175,0.485,0.1025,0.5175,1.0,1.0,0.2425,0.46,0.7975,0.535,0.0,0.465,[0.62],0.6325,0.635,0.545,1.0,0.41,0.1375,0.7475,0.0,0.43,0.4925
0.34444444444444444,0.4866666666666667,0.41555555555555557,0.6577777777777778,0.28,0.4777777777777778,1.0,0.5111111111111111,0.5133333333333333,0.5311111111111111,1.0,0.0,0.29777777777777775,0.9466666666666667,0.4222222222222222,0.8733333333333333,0.5133333333333333,0.5266666666666666,0.8888888888888888,0.5222222222222223,0.4577777777777778,0.8888888888888888,0.8755555555555555,0.2777777777777778,1.0,0.32666666666666666,0.47333333333333333,0.47333333333333333,0.5355555555555556,0.4822222222222222,0.10444444444444445,0.5355555555555556,1.0,1.0,0.23333333333333334,0.44,0.8111111111111111,0.5533333333333333,0.0,0.4266666666666667,[0.61111111],0.6,0.6311111111111111,0.5488888888888889,1.0,0.4022222222222222,0.13333333333333333,0.7511111111111111,0.0,0.42,0.47555555555555556
0.342,0.496,0.402,0.648,0.264,0.49,1.0,0.51,0.524,0.534,1.0,0.0,0.296,0.938,0.404,0.856,0.524,0.528,0.9,0.536,0.444,0.88,0.876,0.276,1.0,0.352,0.468,0.478,0.55,0.486,0.102,0.55,1.0,1.0,0.252,0.46,0.82,0.566,0.0,0.398,[0.598],0.584,0.618,0.544,1.0,0.4,0.13,0.752,0.0,0.414,0.466
